Denominação Comum Brasileira (DCB),Concentração/Composição,Forma Farmacêutica
vacina adsorvida difteria e tétano infantil,-,suspensão injetável
"vacina adsorvida difteria, tétano e pertussis",-,suspensão injetável
"vacina adsorvida difteria, tétano e pertussis (acelular) adulto",-,suspensão injetável
"vacina adsorvida difteria, tétano e pertussis (acelular) infantil",-,suspensão injetável
"vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada)",-,suspensão injetável
vacina adsorvida hepatite A (inativada) adulto,-,suspensão injetável
vacina adsorvida hepatite A (inativada) infantil,-,suspensão injetável
vacina cólera (inativada),-,suspensão oral
vacina febre amarela (atenuada),-,pó para solução injetável
vacina febre tifoide (polissacarídica),-,solução injetável
vacina hepatite B (recombinante),-,suspensão injetável
"vacina influenza trivalente (fragmentada, inativada)",-,suspensão injetável
vacina meningocócica ACWY (conjugada),-,solução injetável
vacina meningocócica C (conjugada),-,pó para suspensão injetável
"vacina papilomavírus humano 6, 11, 16 e 18 (recombinante)",-,suspensão injetável
vacina pneumocócica 10-valente (conjugada),-,suspensão injetável
vacina pneumocócica 13-valente (conjugada),-,solução injetável
vacina pneumocócica 23-valente (polissacarídica),-,solução injetável
vacina poliomielite 1 e 3 (atenuada),-,solução oral
"vacina poliomielite 1, 2 e 3 (inativada)",-,solução injetável
vacina raiva (inativada),-,pó para suspensão injetável
vacina rotavírus humano G1P [8] (atenuada),-,suspensão oral
"vacina sarampo, caxumba, rubéola",-,pó para solução injetável
"vacina sarampo, caxumba, rubéola e varicela (atenuada)",-,pó para solução injetável
vacina varicela (atenuada),-,pó para solução injetável
valproato de sódio,250.0 mg,comprimido
valproato de sódio,250.0 mg,cápsula
valproato de sódio,50 mg/mL,xarope
valproato de sódio,50 mg/ml,solução oral
valproato de sódio,500.0 mg,comprimido
valproato de sódio,50mg/ml,solução oral
varfarina sódica,1.0 mg,comprimido
varfarina sódica,5.0 mg,comprimido
vedolizumabe,300.0 mg,pó para solução injetável
vigabatrina,500.0 mg,comprimido
voriconazol,-,comprimido
voriconazol,200.0 mg,comprimido
voriconazol,200.0 mg,pó liofilizado para solução injetável
voriconazol,200.0 mg,pó liófilizado para injetável
xinafoato de salmeterol,50.0 mcg,pó inalatório
zanamivir,5.0 mg,pó para inalação oral
zidovudina,10 mg/mL,solução injetável
zidovudina,10 mg/mL,solução oral
zidovudina,100.0 mg,cápsula
zidovudina + lamivudina,300 mg + 150 mg,comprimido
ácido acetilsalicílico,100.0 mg,comprimido
ácido acetilsalicílico,500.0 mg,comprimido
ácido folínico,15.0 mg,comprimido
ácido fólico,"0,2 mg/mL",solução oral
ácido fólico,5.0 mg,comprimido
ácido nicotínico,500.0 mg,comprimido de liberação prolongada
ácido paraminossalicílico,4.0 g,granulado oral
ácido salicílico (FN),50 mg/g (5%),pomada
ácido tranexâmico,250.0 mg,comprimido
ácido ursodesoxicólico,150.0 mg,comprimido
ácido ursodesoxicólico,300.0 mg,comprimido
ácido ursodesoxicólico,50.0 mg,comprimido
ácido valproico,250.0 mg,comprimido
ácido valproico,250.0 mg,cápsula
ácido valproico,300.0 mg,comprimido
ácido valproico,50 mg/mL,solução oral
ácido valproico,50 mg/mL,xarope
ácido valproico,500.0 mg,comprimido
ácido zoledrônico,"0,05 mg/mL",solução para infusão
água para injetáveis,-,solução injetável 10 mL
água para injetáveis,-,solução injetável 100 mL
água para injetáveis,-,solução injetável 5 mL
água para injetáveis,-,solução injetável 500 mL
álcool etílico (FN),70.0%,gel
álcool etílico (FN),70.0%,solução
óleo mineral,-,óleo para uso oral
